SampleName,Type
CRC0687LMX0A02001TUMR02000,LMX
CRC1916LMX0B02002TUMR01000,LMX
CRC0671PRX0A02002TUMR01000,PRX
CRC0454LMX0A02001TUMR05000,LMX
CRC1176PRX0A02003TUMR01000,PRX
CRC1472LMX0A02001TUMR01000,LMX
CRC1507PRX0A01001TUMR01000,PRX
CRC0117LMX0A02201TUMR04000,LMX
CRC1620LMX0A02003TUMR01000,LMX
CRC0168LMX0A02204TUMR02000,LMX
CRC0175LMX0A02202TUMR03000,LMX
CRC0170LMX0A02204TUMR02000,LMX
CRC0101LMX0A02201TUMR05000,LMX
CRC1273PRX0B01001TUMR01000,PRX
CRC0740LMX0A02001TUMR01000,LMX
CRC1166LMX0A02002TUMR01000,LMX
CRC1897LMX0B02002TUMR01000,LMX
CRC0160LMX0B02211TUMR02000,LMX
CRC0149LMX0A02201TUMR02000,LMX
CRC0179LMX0A02202TUMR04000,LMX
CRC0570LMX0A02004TUMR01000,LMX
CRC0438LMX0A03003TUMR01000,LMX
CRC0368PRX0A01201TUMR05000,PRX
CRC0063LMX0A02201TUMR02000,LMX
CRC0187LMX0A02201TUMR01000,LMX
CRC0054LMX0B02201TUMR05000,LMX
CRC0719LMX0A02001TUMR01000,LMX
CRC1744LMX0B02003TUMR01000,LMX
CRC0314LMX0A02202TUMR02000,LMX
CRC0068LMX0A02204TUMR19000,LMX
CRC1182LMX0A03001TUMR01000,LMX
CRC0106LMX0B02202TUMR02000,LMX
CRC0558LMX0A02003TUMR05000,LMX
CRC0166LMX0B02204TUMR05000,LMX
CRC0440LMX0A02002TUMR04000,LMX
CRC1083LMX0A02001TUMR02000,LMX
CRC0114LMX0B02202TUMR01000,LMX
CRC0446PRX0A01001TUMR05000,PRX
CRC0025LMX0B02201TUMR05000,LMX
CRC0721LMX0A02001TUMR01000,LMX
CRC0110LMX0A02204TUMR02000,LMX
CRC0441LMX0A02001TUMR04000,LMX
CRC0394LMX0A02002TUMR05000,LMX
CRC0113LMX0B02201TUMR05000,LMX
CRC0024LMX0B02201TUMR01000,LMX
CRC1182PRX0B02001TUMR01000,PRX
CRC0264LMX0A02201TUMR05000,LMX
CRC0056LMX0A02204TUMR03000,LMX
CRC0377LMX0A02002TUMR02000,LMX
CRC0442LMX0B02001TUMR04000,LMX
CRC1306LMX0A02001TUMR01000,LMX
CRC0592PRX0B01001TUMR01000,PRX
CRC0234PRX0A01201TUMR01000,PRX
CRC1647PRX0A01001TUMR01000,PRX
CRC0164LMX0B02202TUMR02000,LMX
CRC0481PRX0B01001TUMR01000,PRX
CRC1182LMX0B02001TUMR02000,LMX
CRC0141LMX0B02204TUMR02000,LMX
